t,v,r
554.000000,47870.000011,57909000009.090179
555.000000,47870.000011,57909000009.103203
556.000000,47870.000011,57909000009.116203
557.000000,47870.000011,57909000009.129204
558.000000,47870.000011,57909000009.142181
559.000000,47870.000011,57909000009.155151
560.000000,47870.000011,57909000009.168106
561.000000,47870.000011,57909000009.181053
562.000000,47870.000011,57909000009.193993
563.000000,47870.000011,57909000009.206909
564.000000,47870.000011,57909000009.219818
565.000000,47870.000011,57909000009.232712
566.000000,47870.000011,57909000009.245598
567.000000,47870.000011,57909000009.258469
568.000000,47870.000011,57909000009.271324
569.000000,47870.000011,57909000009.284172
570.000000,47870.000011,57909000009.297020
571.000000,47870.000011,57909000009.309845
572.000000,47870.000011,57909000009.322655
573.000000,47870.000011,57909000009.335457
574.000000,47870.000011,57909000009.348236
575.000000,47870.000011,57909000009.361008
576.000000,47870.000011,57909000009.373772
577.000000,47870.000011,57909000009.386528
578.000000,47870.000011,57909000009.399269
579.000000,47870.000011,57909000009.411987
580.000000,47870.000011,57909000009.424706
581.000000,47870.000011,57909000009.437408
582.000000,47870.000011,57909000009.450089
583.000000,47870.000011,57909000009.462769
584.000000,47870.000011,57909000009.475433
585.000000,47870.000011,57909000009.488083
586.000000,47870.000011,57909000009.500725
587.000000,47870.000011,57909000009.513351
588.000000,47870.000011,57909000009.525963
589.000000,47870.000011,57909000009.538574
590.000000,47870.000011,57909000009.551155
591.000000,47870.000011,57909000009.563736
592.000000,47870.000011,57909000009.576302
593.000000,47870.000011,57909000009.588860
594.000000,47870.000011,57909000009.601402
595.000000,47870.000011,57909000009.613930
596.000000,47870.000011,57909000009.626450
597.000000,47870.000011,57909000009.638954
598.000000,47870.000011,57909000009.651443
599.000000,47870.000011,57909000009.663933
600.000000,47870.000012,57909000009.676399
601.000000,47870.000012,57909000009.688858
602.000000,47870.000012,57909000009.701302
603.000000,47870.000012,57909000009.713737
604.000000,47870.000012,57909000009.726158
605.000000,47870.000012,57909000009.738571
606.000000,47870.000012,57909000009.750961
607.000000,47870.000012,57909000009.763344
